3	Vile Rebirth	B
1	Mark of the Vampire	3B
1	Bloodhunter Bat	3B
1	Nefarox, Overlord of Grixis	4BB
1	Talrand's Invocation	2UU
1	Talrand, Sky Summoner	2UU
1	Snapping Drake	3U
2	Duty-Bound Dead	B
1	Duskmantle Prowler	3B
1	Sedraxis Alchemist	2B
1	Undead Leotau	5B
3	Zombie Goliath	4B
1	Unsummon	U
1	Mutilate	2BB
1	Deathgreeter	B
1	Harbor Bandit	2B
1	Knight of Infamy	1B
1	Bloodthrone Vampire	1B
1	Wind Drake	2U
1	Looming Shade	2B
1	Liliana's Shade	2BB
1	Divination	2U
2	Mind Sculpt	1U
1	Shore Snapper	2B
1	Walking Corpse	1B
1	Duress	B
1	Telepathy	U
1	Sleep	2UU
1	Tricks of the Trade	3U
1	Zephyr Sprite	U
